"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C21";"C_01005_0402Metric";3;"22uF/10V(20%)";;;
2;"C9, C14, C22";"C_01005_0402Metric";3;"0.1uF/50V(10%)";;;
3;"C15, C19";"C_01005_0402Metric";2;"0.1uF/50V(10%)(NC)";;;
4;"C20";"C_01005_0402Metric";1;"4.7uF/6.3V(10%)";;;
5;"D1";"LED_0603_1608Metric";1;"LED";;;
6;"D3";"D_SOD-323";1;"D_Schottky";;;
7;"D4, D5, D6";"D_SOD-523";3;"D_TVS";;;
8;"J1";"USB_Micro-AB_Molex_47590-0001";1;"USB_B_Micro";;;
9;"J2, J3";"PinHeader_1x19_P2.54mm_Vertical";2;"Conn_01x19_Pin";;;
10;"MOD1";"MODULE_ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
11;"Q1, Q2";"TRANS_MMSS8050-H-TP";2;"MMSS8050-H-TP";;;
12;"R2, R24";"R_01005_0402Metric";2;"2K(5%)";;;
13;"R11, R21, R22";"R_01005_0402Metric";3;"10K(5%)";;;
14;"R17, R18";"R_01005_0402Metric";2;"0R(5%)";;;
15;"R23";"R_01005_0402Metric";1;"10K(5%)(NC)";;;
16;"R25";"R_01005_0402Metric";1;"22.1K(5%)";;;
17;"R26";"R_01005_0402Metric";1;"47.5K(5%)";;;
18;"SW1, SW2";"SW_SPST_B3S-1000";2;"SW_Push";;;
19;"U1";"QFN50P500X500X80-29N";1;"CP2102N-A01-GQFN28";;;
20;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
